Station Offset to Points Report,,,,
,,,,
Client:,Prepared by:,,,
Client,Preparer,,,
Client Company,Your Company Name,,,
Address 1,123 Main Street,,,
Date: 7/9/2024 1:03:22 PM,,,,
,,,,
,,,,
Alignment Name: massir baskol,,,,
Description:,,,,
"Station Range: Start: -0+000.00, End: 1+416.34",,,,
,,,,
Point,Station,Offset,Elevation,Description
493,0+760.02,-6.722m,"1,367.827m",
494,0+759.95,-8.385m,"1,367.665m",
495,0+759.94,-13.489m,"1,367.543m",
496,0+759.71,-15.697m,"1,367.411m",
497,0+779.94,15.234m,"1,368.800m",
498,0+779.99,10.464m,"1,368.742m",
499,0+780.05,-0.205m,"1,368.785m",
500,0+779.98,-1.096m,"1,368.898m",
501,0+779.97,-1.610m,"1,368.733m",
502,0+779.98,-5.573m,"1,368.794m",
503,0+779.95,-6.133m,"1,369.040m",
504,0+779.97,-6.730m,"1,368.984m",
505,0+779.99,-7.594m,"1,368.879m",
506,0+779.97,-10.175m,"1,368.720m",
507,0+779.95,-14.445m,"1,368.724m",
508,0+780.03,-13.244m,"1,368.880m",
509,0+780.01,-12.458m,"1,368.656m",
510,0+780.03,-11.677m,"1,368.704m",
511,0+799.97,-14.775m,"1,369.663m",
512,0+799.94,-10.053m,"1,369.784m",
513,0+800.03,-7.489m,"1,369.889m",
514,0+800.00,-6.710m,"1,370.039m",
515,0+799.96,-5.874m,"1,370.107m",
516,0+800.01,-4.795m,"1,369.839m",
517,0+799.90,-1.274m,"1,369.949m",
518,0+800.07,-0.438m,"1,370.252m",
519,0+799.95,0.154m,"1,370.003m",
520,0+800.09,2.378m,"1,370.031m",
521,0+799.99,3.262m,"1,370.085m",
522,0+800.09,5.104m,"1,369.714m",
523,0+800.04,8.228m,"1,369.765m",
524,0+800.13,11.750m,"1,369.975m",
525,0+800.22,15.069m,"1,370.082m",
526,0+819.85,15.178m,"1,371.343m",
527,0+819.97,11.271m,"1,371.361m",
528,0+819.88,8.430m,"1,371.312m",
529,0+819.95,6.432m,"1,371.297m",
530,0+819.94,4.606m,"1,371.326m",
531,0+819.95,3.763m,"1,371.466m",
532,0+820.02,3.113m,"1,371.364m",
533,0+819.98,0.278m,"1,371.426m",
534,0+819.94,-0.367m,"1,371.296m",
535,0+819.97,-4.994m,"1,371.474m",
536,0+819.94,-4.065m,"1,371.183m",
537,0+820.00,-7.018m,"1,371.321m",
538,0+820.04,-10.243m,"1,371.179m",
539,0+820.02,-8.887m,"1,371.150m",
540,0+820.00,-9.247m,"1,371.080m",
541,0+820.00,-9.588m,"1,371.076m",
542,0+819.98,-10.930m,"1,371.189m",
543,0+819.99,-12.252m,"1,371.731m",
544,0+819.96,-13.045m,"1,371.689m",
545,0+819.96,-15.001m,"1,371.565m",
546,0+840.02,14.868m,"1,372.628m",
547,0+839.97,10.859m,"1,372.610m",
548,0+839.95,9.813m,"1,372.633m",
549,0+839.89,8.790m,"1,372.551m",
550,0+839.93,5.983m,"1,372.561m",
551,0+839.92,2.096m,"1,372.509m",
552,0+839.97,0.712m,"1,372.489m",
553,0+839.98,0.175m,"1,372.598m",
554,0+839.92,-0.659m,"1,372.360m",
555,0+839.97,-4.261m,"1,372.389m",
556,0+839.93,-4.984m,"1,372.667m",
557,0+839.97,-6.451m,"1,372.410m",
558,0+839.98,-7.616m,"1,372.283m",
559,0+840.03,-11.288m,"1,372.167m",
560,0+839.98,-11.941m,"1,372.099m",
561,0+839.93,-12.559m,"1,372.106m",
562,0+839.88,-14.748m,"1,372.264m",
563,0+839.90,-13.531m,"1,372.289m",
564,0+859.79,15.107m,"1,373.167m",
565,0+859.83,1.022m,"1,373.457m",
566,0+859.95,0.430m,"1,373.497m",
567,0+860.00,0.077m,"1,373.393m",
568,0+860.04,-4.503m,"1,373.533m",
569,0+859.98,-3.975m,"1,373.313m",
570,0+859.99,-6.299m,"1,373.349m",
571,0+860.07,-9.809m,"1,373.311m",
572,0+859.99,-12.845m,"1,373.195m",
573,0+859.96,-13.094m,"1,373.191m",
574,0+859.99,-13.601m,"1,373.276m",
575,0+859.99,-13.989m,"1,373.291m",
576,0+859.98,-14.891m,"1,373.023m",
577,0+859.94,-15.775m,"1,373.008m",
578,0+880.00,15.092m,"1,374.362m",
579,0+880.06,13.087m,"1,374.522m",
580,0+880.02,12.379m,"1,374.511m",
581,0+880.01,9.286m,"1,374.500m",
582,0+880.01,6.532m,"1,374.817m",
583,0+880.03,-0.286m,"1,374.533m",
