run_id,scenario_type,scenario_param,T,L,C,p,h,w,s,demand_volatility,optimal_cost,collection_cost,holding_cost,shortage_cost,waste_cost,total_collected,total_shortage,total_waste,total_demand,service_level,shortage_frequency,avg_inventory
92,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,88.52337406076455,150942.0,8000.0,142.0,142800.0,0.0,400.0,714.0,0.0,1114.0,0.3590664272890485,0.5714285714285714,5.071428571428571
93,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,85.64917169619854,149160.0,8000.0,160.0,141000.0,0.0,400.0,705.0,0.0,1105.0,0.36199095022624433,0.5714285714285714,5.714285714285714
94,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,88.57914712912091,151930.0,7980.0,150.0,143800.0,0.0,399.0,719.0,0.0,1118.0,0.35688729874776387,0.5,5.357142857142857
95,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,80.06489714663999,139366.0,8000.0,166.0,131200.0,0.0,400.0,656.0,0.0,1056.0,0.3787878787878788,0.5,5.928571428571429
96,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,85.46108435291183,148744.0,8000.0,144.0,140600.0,0.0,400.0,703.0,0.0,1103.0,0.3626473254759746,0.5714285714285714,5.142857142857143
97,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,88.3282664443338,145972.0,8000.0,172.0,137800.0,0.0,400.0,689.0,0.0,1089.0,0.3673094582185491,0.5714285714285714,6.142857142857143
98,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,83.87697502160833,145770.0,8000.0,170.0,137600.0,0.0,400.0,688.0,0.0,1088.0,0.36764705882352944,0.5,6.071428571428571
99,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,85.20515458202595,148560.0,8000.0,160.0,140400.0,0.0,400.0,702.0,0.0,1102.0,0.3629764065335753,0.5714285714285714,5.714285714285714
100,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,87.39880445640068,152726.0,7980.0,146.0,144600.0,0.0,399.0,723.0,0.0,1122.0,0.35561497326203206,0.5714285714285714,5.214285714285714
101,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,84.04663428534111,146772.0,8020.0,152.0,138600.0,0.0,401.0,693.0,0.0,1094.0,0.36654478976234006,0.5,5.428571428571429
102,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,84.35638683585256,149534.0,7980.0,154.0,141400.0,0.0,399.0,707.0,0.0,1106.0,0.36075949367088606,0.5,5.5
103,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,90.16787065224057,153752.0,8000.0,152.0,145600.0,0.0,400.0,728.0,0.0,1128.0,0.3546099290780142,0.5,5.428571428571429
104,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,91.62634858544807,156720.0,7980.0,140.0,148600.0,0.0,399.0,743.0,0.0,1142.0,0.34938704028021017,0.5,5.0
105,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,85.94697582266187,147140.0,8000.0,140.0,139000.0,0.0,400.0,695.0,0.0,1095.0,0.365296803652968,0.5714285714285714,5.0
106,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,84.34610427353743,147128.0,7980.0,148.0,139000.0,0.0,399.0,695.0,0.0,1094.0,0.3647166361974406,0.5714285714285714,5.285714285714286
107,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,86.2351140659023,149142.0,8000.0,142.0,141000.0,0.0,400.0,705.0,0.0,1105.0,0.36199095022624433,0.5714285714285714,5.071428571428571
108,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,88.64182110595198,150518.0,7980.0,138.0,142400.0,0.0,399.0,712.0,0.0,1111.0,0.35913591359135916,0.5714285714285714,4.928571428571429
109,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,88.13197432237169,150568.0,8000.0,168.0,142400.0,0.0,400.0,712.0,0.0,1112.0,0.3597122302158273,0.5,6.0
110,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,80.7557415662711,140506.0,7960.0,146.0,132400.0,0.0,398.0,662.0,0.0,1060.0,0.3754716981132076,0.5714285714285714,5.214285714285714
111,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,89.3402119394607,150722.0,7980.0,142.0,142600.0,0.0,399.0,713.0,0.0,1112.0,0.35881294964028776,0.5,5.071428571428571
112,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,85.74014490878582,145548.0,8000.0,148.0,137400.0,0.0,400.0,687.0,0.0,1087.0,0.36798528058877644,0.5,5.285714285714286
113,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,87.96949842451771,147372.0,8000.0,172.0,139200.0,0.0,400.0,696.0,0.0,1096.0,0.36496350364963503,0.5,6.142857142857143
114,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,75.18168469970405,132734.0,7980.0,154.0,124600.0,0.0,399.0,623.0,0.0,1022.0,0.3904109589041096,0.5,5.5
115,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,82.21921916437786,143914.0,7980.0,134.0,135800.0,0.0,399.0,679.0,0.0,1078.0,0.37012987012987014,0.5714285714285714,4.785714285714286
116,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,89.12751699511372,152336.0,7980.0,156.0,144200.0,0.0,399.0,721.0,0.0,1120.0,0.35625,0.5714285714285714,5.571428571428571
117,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,87.63330952768764,149948.0,8000.0,148.0,141800.0,0.0,400.0,709.0,0.0,1109.0,0.3606853020739405,0.6428571428571429,5.285714285714286
118,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,87.77650189950774,152140.0,8000.0,140.0,144000.0,0.0,400.0,720.0,0.0,1120.0,0.35714285714285715,0.5714285714285714,5.0
119,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,87.20235088574161,150934.0,7980.0,154.0,142800.0,0.0,399.0,714.0,0.0,1113.0,0.3584905660377358,0.5714285714285714,5.5
120,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,87.18912706037962,151334.0,7980.0,154.0,143200.0,0.0,399.0,716.0,0.0,1115.0,0.357847533632287,0.5,5.5
121,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,85.66105489970698,147930.0,7980.0,150.0,139800.0,0.0,399.0,699.0,0.0,1098.0,0.3633879781420765,0.5714285714285714,5.357142857142857
122,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,89.90916618045851,153944.0,8000.0,144.0,145800.0,0.0,400.0,729.0,0.0,1129.0,0.354295837023915,0.5,5.142857142857143
123,volatility,sigma_0.05,14,3,30.0,20.0,2.0,5.0,200.0,86.6517778943104,148328.0,7980.0,148.0,140200.0,0.0,399.0,701.0,0.0,1100.0,0.36272727272727273,0.5714285714285714,5.285714285714286
